Uacute,Ú,218,Ú
uacute,ú,250,ú
uarr,↑,8593,↑
uArr,⇑,8657,⇑
Ucirc,Û,219,Û
ucirc,û,251,û
Ugrave,Ù,217,Ù
ugrave,ù,249,ù
uml,¨,168,¨
upsih,ϒ,978,ϒ
Upsilon,Υ,933,Υ
upsilon,υ,965,υ
Uuml,Ü,220,Ü
uuml,ü,252,ü
weierp,℘,8472,℘
Xi,Ξ,926,Ξ
xi,ξ,958,ξ
Yacute,Ý,221,Ý
yacute,ý,253,ý
yen,¥,165,¥
Yuml,Ÿ,376,Ÿ
yuml,ÿ,255,ÿ
Zeta,Ζ,918,Ζ
zeta,ζ,950,ζ
zwj, ,8205, 
zwnj, ,8204, 
